SANTIAGO;male;a beat later We are death We all die Death is the one thing Death is no respecter of age He And if you take that chance and Just as this flesh is pink now it Then why should you care if you die  And suppose death had a heart to You wait your turn Well have you a sister a mother We alone can give death meaning Do How did you wrong him You said a name  I seemed to recognize it There is but one crime among us You should know who are so It is the crime that means death to You can make no demands here Is he the one All the murderers Death for the others For you Walled in a dungeon Your only laughing 
ARMAND;male;He looks like an angel You are all right Bring the petit beauty with you No No pain Your beauty is a gift to us Who deserves such a gift Yes and very beautiful They did but too fast for you to He wants you Disappointing isn't it To come so But how did you come into You don't want to answer Two If there were a leader I would be Ah You have questions Nothing if not vampires Surely you know the one who made That is a picture nothing more No I understand I saw you in the Perhaps And perhaps this is the only real I have not spoken to him None that I've ever known I know You fell too much So much you make The one who made you should have Knew You mean he is So soon to go I was waiting for you Your lover If you say so You are innocent She is I could give you reasons Her Did you kill this vampire who made It's already begun If you want to So soon Without any of those But you asked the wrong questions You would never give up life If How he must have loved you Louis I need you more than he ever But Louis that is the very spirit Like moths around the candle of the Are these not the answers you came A vampire with a human soul An Yes I knew him Knew him well But you must go now You must get Noone else knows of this door Above him reaching down to take Hurry Don't make a sound Follow me  that way  through my I can't save her Louis I can't save her I will I couldn't prevent it Louis they cannot be brought back Louis I swear I did not No I knew I rescued you didn't I You made me see their failings Your melancholy eyes We are a pair and that's what
ESTELLE;female;Such a darling Time for justice little one The sentence is death To all of  Stop him It's morning The
MADELEINE;female; Drink Au contraire monsieur I have Yes Yes A child who can't die My daughter Yes
STONEY;male;reading It's over between us You're the You okay You know even though we both found this guy  Cool Besides you're into this shit Well she's definitely a blond You're jealous It's over between us You're the Hell yeah I'm coming YES  YES
ADRIENNE;female;smiles breathless You gotta see this Check it out Look beyond it yesterday's news Oh Gawd I wish it would stop doing that Here Dumbass Yllo this is my find My project But I want    Fucking Yllo Thinks he can push me aside Oh thanks    fine go It's just another Done Crystallization remains Put it on the screen Okay big boy     continuing Interesting Record Thawing has
JANESSA;female;Bitch looks dead to me First field trip and you think Okay rentacop do your shit They're just subclass B droids Oh was that the hand you beat off with Oh that's scientific She's not that great It's just like Thorgan's Small brains make your balls itch All this science shit makes me horny You're quicker than usual You prefer an apple Oh my God Adrienne Maybe she tripped You know Stoney's done everyone Look ice chip why don't you just chill out What do we do Okay I'm guessing you should hurry That was fun Thorgan I think your metal lover's losing it What Okay tell you what You die we'll run You geeks wanna gimmie a hand This is just great Boeman can you reach DeLongpre Forget her she's a pain in the ass That ought'a help the situation Okay that hurt Shit He's gonna send himself right at us to Rizzo Let's just get out of here So what else is new Are you crazy Pull the lever to Rizzo What's the point No A little late to be thinking about You know Yllo seemed to think we could I'm just saying YeaH GREAT IDEA And I'll keep the big You're so bossy Thorgan you little shit is that you Damnit You scared the hell out of me Jason He's what happened Then  Yllo's dead Wewe thought you were too  Well go on Pass out Shit HeHe He came for me I had to run II don't know what I did He was chasing me I don't knowsorry They're not gonna make it Close the door Close the fucking door Pull me in
DALLAS;male;Punk That's nine to four geekboy You got lucky I could have waited until he He's good That sucks Why won't he go down He's not part of the program No we're playing a gamenot you numbnuts Yes it does Okay enough of this shit I don't have all day kid Jesus into mike
BERNIE;female;Gravitation nominal Thrusters engaged Disengaged On course ETA 36 minutes 34 seconds EnenenenEtaEta
SVEN;male;Dallas Azrael Oh shit Sarge this is bad The kid's Oh yeah Sorry Big sucker too
RUN;andy;
BEAT;male;
ENRIQUE;male;Don't worry I take you close But not too 
GRANT;male;Oh actually Charlie those two are Hmm Oh right What's my name Come on Jack say it Is my Really  Indeed  Raptors mostly You remember the sounds they made We've done cranial scans and raptors To a degree we never imagined It was never easy but before Jurassic Park The last of my breed deep down knowing he never A wellaccepted theory It's through the painstaking study of the Does anyone have a question that doesn't  No and let me be perfectly clear on this No force on this earth or in heaven could get me on Mr Brennan We'll be broke in four weeks You rented an automated litter box Not if it can't dig It's be my pleasure Thank you Hmmm That's a very nice offer Mr Kirby but I'm I'm flattered but I've taken this little That's hard to believe Even with what I pay you you could get a That does sound lucky ReverseDarwinism Survival of the most The bones will be there when we get back There There An Apatosaur Look at the Mr and Mrs Kirby If you look out the right That's not the landing gear This plane can not land Tell me we didn't land What the hell is going on What are they Mr Kirby trust me on this island there is And tell your wife to stop making so I don't think so This way Don't worry It's dead Come on Why did you bring us here So you hired these mercenaries interrupting disbelieving A few of us survived A lot more died And we After what you've seen today you really No I'm sorry but no We'll savage what we You can stick with us or you can go and look for How would you classify it They never got that big Not with that sail That's because it wasn't on their list Who There is no Kirby Enterprises is there Quiet We should take it with us to signal any planes Raptors If we came across one we might live But you never came across just one Ah yes the first rule of academics Publish This is how you play God Back out Move She's calling for help Head for the trees KEEP GOING What does that mean What are you saying Eric On the island You'd be surprised what people can do when Which one do you prefer Back then they hadn't tried to eat me Any weapons radios It's a wonder you aren't I'm amazed Eric I  trying to be positive What did you think That's two things we have in common takes it How much of this island have you explored We need to head for the coast Why We need to keep moving Billy I can't talk to you now finally turning on him We climb down to the barge and follow the How about if we try this way One way to find out Oh my God A bird cage Split up BILLY WAIT NO He made it Billy No Although I've studied them in the wild See I was the opposite I never understood Exactly The difference between imagining Keep quiet Find it before it stops ringing Well we don't exactly have a Costa Rican Bonitas Get the motor going Pick up Pick up Charlie Charlie Get your mother Right desperate ELLIE looking around Jump Swim for the far shore She's the one person I could always count on You're right Do me a favor Go back to your parents for a to himself shouting over the noise The population will Stabilize eventually So do I
ELLIE;female;interrupting He's three Why don't you wait till he's a That must be Mark Mark this is Alan Grant Sorry Alan it's been six years relived So what are you working on now Anything good My favorite I try not to You think they could talk to each other You taught him that Good luck with the fund raising Times change Alan But you're the still the Let me know if I can help Alan Youre bad Goodbye Alan simply Was somebody on the phone  Alan
CHARLIE;male;Daddy this is a herbabore Hewwo Hewwo Okay Dinosaur man imitating
CHERYL;female;Billy I don't think I'm doing this right I can never tell what's bone and what's rock Rough
PAUL;male;I guarantee it'll be worth your while First off let me say as a dinosaur enthusiasts Amanda and I well we just love the outdoors Now for our wedding anniversary this year We've arranged for a private airplane to No no see Dr Grant you're the best You've Well I'm no aviation specialist But I do Let's just say that through my business  Dr Grant if you'd just sit tight we'll Dr Grant are you alright I'm sorry we Establishing a perimeter Making it safe yelling pointing broadly at Alan to Alan What's the problem Can't you guys Don't worry honey We'll circle around and What are you doing That's Mr Cooper Right here What is it What's the matter This is him Eric Hes thirteen now He's Her new boyfriend We called everyone did everything we could We needed somebody who knew the lay of the Sure you have You wrote that book low to Udesky Eight weeks Dr Grant we're not leaving without our son What do we do Excellent Sorry Twenty twentyfire pounds I've been People change Thirtythousand I think Closer to the top There is I own a place called Kirby Paint Mortgaged everything we had to do it Even loud whisper to Amanda No Dr Grant says Well what's the use of hiring an expert if Fineand when the Tricyclatops comes after What What did you say What did you say Young adult See He's okay He's alive Everything's I'm sorry Amanda I am And I'm sorry for I know you liked Ben I had no right to Well that's good I bet there's a very good chance Eric's in calling out Let's see I've got about a dollar seventy Amanda In here Udesky It's not safe They couldnt climb up so they were trying Where's Grant I want to find them too but we can't do a bit I thought you were an expert I just want you know Amanda It's not Well damn it I don't speak ill of the dead That one time was just the bumper I'm not sorry at all rationalizing My phone I don't know I don't have it with me I don't remember The plane I got a call on the plane put it in I loaned it to Nash He must have had it on Never had a doubt Never did Us Kirby men Honey there's not enough spit in the world Dr Grant We're not going anywhere I promise How 'bout if I muttering to himself Eric ERIC shouting back Hang on Eric It's no use Dr Grant No use My own kid was right in front of me and I I should have tried It should have been me He could have died I've got something I think I've got Can't help but be a little offended Whatever you do don't call the US Embassy to Amanda  Good thing I've been swimming huh You remember when we went fishing last That was a fun day You mean it Helicopters Helicopters Either that or the government will firebomb  Right baby all Hell's broke loose down
AMANDA;female;It is truly whats the word Inspiring We even have two seats reserved aboard the onceinalifetime You see that's just the thing Paul and I From what I understand it's pretty much Dr Grant you don't know how important it is It's going to be all right Just Eric Eric Are you there honey Ben onbullhorn on the bullhorn on the bullhorn We can't just Oh my God Paul my God Our son is on this island We need your help He's with a man named Ben Hildebrand A friend We were vacationing Eric wanted Still you have survived the dinosaurs before You He's smart Dr Grant And he knows so much Nothing you haven't seen before You hate to swim So do you Eric Well we should split up or something We can Dr Grant says this Dr Grant says that Because "Dr Grant" isn't looking for Eric Oh don't worry about that Nothing Nothing Just drop it Paul Eric That's Ben's It works No it's frustrated to Paul Wait Where's Billy almost sotto Eric This is how you make dinosaurs Push Listening We have to help him He's not a kill he's still alive We can't just stop looking Eric and Dr Well Dr Grant isn't here so we're going to Well what This wouldn't happen if he was with He would have been safe Completely What about Eric and Dr Grant What about Eric You had the phone the whole time When did you have it last Think WhatWHAT reassuring him Then we go home You okay Do you think it goes all the way across Eric its okay You'll be right behind me calling out What is it shouting You couldn't have made that jump How would you have helped Eric But he didn't And neither did you And I'm I've got it I've got it I wouldn't trust Stan with a snowball in a Who are you calling PAUL Just hold on I know I know I want to look for him too Let me tell you a few things about you Dad Okay He loves us very very much And I know We should try fishing again I do It's worth another shot And who knows to the pilot They're not following I would completely support that
COOPER;male;Through our church Uhthe one that worships God and believes in being yelling back  Come on Nash Slow down buddy
ALAN;male;
DIETER;male;Yeah COME ON MOVE IT Come on come on don't have all FASTER to the Driver Easy  easy  not too close Next case What are velociraptors I think we can handle ourselves Wait here for me would ya Carter It's not polite to  HEY  CARTER  YELL OR SOMETHING I Easy  wait  one more sec
MALCOLM;male;under his breath Excuse me a withering look Ian Malcolm Not really Resentful I didn't know you  weren't well They do have motives  Why did you What What are you talking about I don't believe you No no no no no no    Are you out of your mind  I still So what John    I'm not going John Find someone else Do me a favor  Don't pretend for a You cost me my livelihood  That on I didn't tell anything I told the There are no versions of the truth It was a payoff and an insult  InGen Do you have a satellite phone We leave in twentyfour hours  Five Eddie Carr's handling all our Any damage "Minimal" is too much   It has to be You are an academic You think I'm all talk Eddie Is there anything we've forgotten Kelly  What are you doing here Okay Karen is expecting you in half Well I do and she's fantastic I can't tell you  But I'll be back I'll make it up to you this summer Very hurtful  Your mother tell you Is that kid still bothering you You know at the bus stop  With the Well is he That Richard Out of the question  You'd miss the This is nothing like Austin  Forget I'm not like you wan me to be  I've Dr Harding insisted we go by sea Be back in three days but keep the Listen  I know you all have probably to Eddie She's nuts That's a scientific impossibility No way A campfire Who the hell started a campfire Oh  man You know you were putting yourself in You're going home  I'm sending a I'm her father You can't stay Kelly that's it How could you possibly Because I didn't know  I don't have Where does it say that No  We're an independently funded John Hammond What are you doing to me John Ludlow  That's why Hammond was in They want their money back  To I can't believe Peter Ludlow's Well if that's true  the man in Our chance to do what Dr Juttson please take Kelly back signs HOLY SHIT  So do it a favor and put it out of This is exceedingly unwise Just do whatever you have to do and Can you set up Think fast Sarah Oh Christ What do you think they want Current evidence seems to be to the Are you insane Wait there  I'll come up in a No All right  I'm satisfied with the getting up What the hell is he sorry f Oh God They're pushing us over the cliff Nick  Grab the phone WE'RE IN HERE  GET SOME ROPE softly Are you all right  Anything broken I'm fine I'm fine No  I'm quite certain you can't We'd never make it past the raptors Damn it You ever heard of Gambler's Ruin A statistical phenomenon  Says Just  flawed  Very deeply flawed So that others would know about this Because it exists Yes  And people will live in the lowers is voice But why nods Maybe  Maybe not You okay There must be a game trail some kind KELLY  KEEEEELLLY shouting I gotta get down there Four counting the one in the The jungle  It's always ready to No I don't know What's he got in there You gentlemen feel you have to do There it is What Birdshit Kelly  KELLY Where's Kelly We can't stay in here This is singlewall construction For sixty seconds maybe  Look at I have to find Kelly DAMN IT BE SURE It's too wide Something's wrong SHE'S ALONE Kelly  KELLY Come on CLIMB KELLY Kelly  I'm coming GO GO GO GO GOG GO Thank you  Kelly thank God  Thank Hello Lex  Tim I'm sorry about your grandfather pause I know Lex  But even if we're the That's the thing about reality
ROLAND;male;Ajay taps his nose Last time I plugged it in I suppose Well I'm a very wellfunded old son Just a little bit too much I A true hunter doesn't mind if the I can think of none greater What do I have to do to pick a fight Really Sorry  We were saying Ajay  Go on up to my ranch take a Cancel that Dieter Carnivores hunt near stream beds  Do Peter if you want me to run your Good lad Dieter  This is a roundup not a It certainly does HEY To collect my fee Ajay It's the rex nest shakes his head no Offering a little incentive My father's 600 Nitro Express  Made Forty yards  Less maybe  I assume Or a laser beam from a satellite I once saw a bull elephant die Rex won't be any different  It'll What What the hell you do that for You've broken its leg What in God's   Last time I leave you in charge Isn't it obvious Do we have anyone up there mostly to himself Back off Dieter None of that matters  Our If we can't stay in the rex's What is Look we have two choices  We can That may be  But you weren't with You all right What's that Feeling a bit blue are we Why did you come here Why should they It'll still exit if they go on not So the truth is more important to you She yours Somewhere on this island there You remember that guy about twenty Tell you what  You can see whatever Another half hour FIVE MINUTES BREAK Break's over move on How long ago was this Then he's dead  Nobody tells the You go if you like but we're not Looks like the worker village is down They'll have to rest before we look You hear something Oh no hisses Get my weapon FOR CHRIST'S SAKE DON'T RUN MALCOLM  OVER HERE She's okay  They'll stay in there Elephant grass How many rounds did you find for that Don't let it out of your hands again Can the kid walk We're going to find a path down into Piss Keep moving Where's the power and radio setup Good Tyrannosaur urine  I don't want After the rex  I saw a fresh kill Runs against my nature to hole up in Possible Now's the perfect time  The animal We took to the rock Wind shift the very softest whisper Let it go Peter  The animal won Give me a ladder
AJAY;male;delighted You  Tell me Roland when was the I got a call from a gentleman who's But alone  We always had great How do you mean You broke that idiot's jaw for no Roland It matches the pictures Do you wish to go where the animal Make a blind here  Wait for the buck No  I feel something
MAKENA;female;Closer But the view would  Sarah Dr Harding
EDDIE;male;No no look at the plans Henry Minimal Light and strong light and strong Former academic  Now I actually make doesn't look at him Lindstradt air rifle  Fires a Like if you shoot yourself in the  God Fire to Malcolm Why didn't you tell us about these What is that they have with them Give me the radio Sarah come in WE ESTIMATE TWO LARGE ADULTS HEADED They're going back into the jungle Thank God  Thank God Hang on  hang on  HEY  HELLO Catch Climbs up if you can Damn it
KELLY;female;Hi Dad Vacation  I'm all yours  You didn't I don't even know this woman Stop saying fantastic  Where are you My vacation is over in a week I'm your daughter all the time you No Dad  I have thoughts of my own Which one That was about a year ago No  Richard talked to his parents to Malcolm I don't care about the trials I You like to have kids you just I can keep up Sure now You're wrong Dad  I do know Because you said so  Maybe nobody "InGen"  What's InGen On the side of that one truck Yeah what have you done Dad What are you guys gonna do What are they doing  Why don't What is it Uh huh I'm fine I'm fine I was scared I I don't think  my dad doesn't I doubt that Why  He likes to be alone  I can I can  I can walk What's going on Dad DAD COME ON GET UP 
NICK;male;I was a cameraman for Nightline for Women  'Bout eighty percent female Hey I wouldn't want to spook the Oh please  How am I supposed to He doesn't need a friend he needs a Come on there's only one reason any Oh  She's gutty What should I call this  "Jurassic Oh my God Oh no humidity I know Do you see any family resemblance The kid scores with cheap sentiment You were saying something about angry to Malcolm You gotta be kidding Then this is our chance I don't know these guys but I know There' no reason for name calling Hang on  We may encounter some Sick bastards Wait don't  It has a broken leg No  Get in the car before they hear  That little black line Give it more morphine I'm trying What do they want Wait There's uh  there's an unwritten No way HANG ON TO SOMETHING SARAH  DON'T MOVE   SARAH LOOK OUT Are you looking for a problem How far is the village Well how far is it I think you should call a break Some of them won't make another half SARAH KELLY COME HERE JUMP Shhhh shhhh I do not feel lucky Lava What are they What in God's name would he want No into microphone Who cares  Let's go Come on She's with Sarah We're sure as hell not going back out It'll hold helping him out I think she's with Sarah Help me push this It's afraid to come onto the roof Look  Sarah Where's Kelly
HUNTER;male;LOOK AT THESE THINGS They gave up  They're not chasing
SIDE;andy;
LEX;male;I'm glad you came Dr Malcolm We were going to call you in a few Because it's true But  it was real  You can't let
SCOTTIE;male;Hello Who is this
NICKY;male;embarrassed Okay but Jimmy when the house is Good thanks Actually I'll take a rain check on0 picking up his head picking head up Oh no  Please Cassius Nothing Dad  Just rearranging the Hey Dad I'm almost finished laying Don't worry about coming up with Hallelujah Definitely Well I thought that after messing with Metallica Dad  Come on You're a good devil Dad Coulda been much worse How bad We gotta get this bad boy burning again So go get 'em Dad So go get 'em Jimmy You're not saying it's up to me Are you telling me I have to go to Earth No  This can't be happening Okay Earth  The Blue Marble  This I got hit by a big light that was Well I guess I'm going to have to take I'm Nicky I just need to find my brothers and be Okay "bro" this jig is up Oh  Sorry shivering a little I also have this odd pain in my mid So far so good  Now what HeyPopeye's chicken is ass kickin' I got energy up the yingying  Let's That's a pretty brassiere Could you maybe not tell anyone about You got it From now on  I'm just going to avoid Hello friend my name is Nicky  I Yes  What is rent Off limits No Yeah  The deep South I don't know Got ya This is intense  And it happens every pulling up pants Well let's rock and roll just get in the flask Beast All that running and chasing is making Oh nooooo Iron Maiden live double disc is simply Hey Yes  I would like my flask back No I'm just calling you a guy who not sure what the answer is It was handcrafted in hell by Satan Sir I would prefer if you didn't raise Hey mister  I'll be seeing you in a You think I'm a tourist The South Yeah  Deep south I don't know but I like it  Say  Your My dad's in hell and he's falling If I don't save him I don't know what Here have a Popeye's  This drumstick Could I come with you to getting a Want to  A million angry octopus people Uh it's a deep south expression It's freezing my hands I have an apartment  I don't remember I'm not sure  I'd ask him but he's School What's that pleasant smell coming from Valerie it feels like there's a bunch Good  I was concerned So you're saying make all pants with a Wow  Maybe you should make drawstring Thanks much  You know what's nice about Your juicy heartshaped ass shocked and confused What can I do about it Nobody's as evil as my brothers  Those But those are my roommate's sodas Release the evil That guy in the striped shirt snaps his If it's Cassius yes I'll take the shot Release the evil turning to sideline Listen up New York  Your souls are in You know Dad got very sick when you Never doubt my skills Sorry Cassius  Maybe it was the super pulls out the flask Absolutely nothing  The Blizzard always What's reefer Not again fellas  It kind of hurts resigned I'm only fifteenthousand years old A little strange  I can't stop thinking We had the greatest afternoon of my life No thanks  I'm afraid I wouldn't be See ya fellas Todd  Which way to the Parson's School he sniffs You smell like coconuts No thanks  I'm looking for a girl named Thanks much  Good luck with the Adrian Hey Oh that stings  My eyes are on fire I'm not sure but it didn't involve Valerie No I think I'm floating I don't know  Maybe it's because of I can't see you but I can smell you Oh  Sorry Andrew  Valerie That wasn't me  I was being possessed Remember when I told you my Dad was in Well that's because he's the Devil to decompose  And I love my  Dad You gotta believe me  You gotta believe Let me take care of that Next time  Tonight I want to share the East Rutherford I never thought I'd ever see Ozzy live My dog was right  I'm in love with you in Korean What's going on here Owwhat was that for Release the evil I seem to be in trouble Beefy I didn't murder anybody I was with Valerie I swear  This is This is baloney I'm not Nicky  I'm not home  I don't I thought for sure I gave 'em the slip Good ideakill me Yes  I'll meet you at Grand Central at That just hurt a lot Dad Adrian's got the whole city after Uh I'll do my best Dad  Do you have I won't drink  You can't make me Let her go I have to Valerie Valerie That's terrific  Now could you ladies The home of eternal damnation house of My brothers told me my mother was a My mom wasn't a goat An angel Wow  Whatwhat did she look like stunned Are you Adrian and Cassius' mom too I don't think so Where did you meet my father And that made you want to make a baby Well tell her I said "hi" back How did you see me Valerie's crying I gotta help her  I gotta help Dad  I But how can I win  Adrian is stronger A speech impediment What is it Well nice meeting you Jenna Christa Well Mommy get me to the big apple Releasethe good Adrian I'm asking you nicely in the No  It's the inner light  And with it Okay Adrian you've left me with no Love lifts me up where I belong Now I'm asking you nicely get in the From my dad's side of the family I'll just go to Heaven Sorry Henry I love you I came through for you Mom and the What about you and Grandpa and everyone I will Dad  But in the words of Motley Zachariah say you're sorry
ADRIAN;male;I've been waiting on this day for ten Well Dad says it's the breaks that make Then again the beauty of Dad retiring You sure about this decision Dad And he's dead serious Um excuse me we're having a private Twentythousand years ago Grandpa to Cassius What do you think aboutEarth Eventually Cassius  But first we It's our time brother When an adult goes to Hell that's  Tada  So what time is my brother You know what you'll get  An Sure why not To the defilement of Earth and the It is awfully hot down here  How do you This liquid will probably quench my Or maybe it will trap me inside for all Oh Nicky I've missed you  Come on out eyes getting red Hello Cassius You know New Hell really only needs one But Cassius could use some company for Of course I can  Drink or she dies I hear a train coming  Drink Ahhh See you in Hell Where's Nicky I came through that gate alone Somebody explain what's going on Perhaps a titty twister will loosen your How much time does Dad have before that Thirty minutes  Hmmm  I hope you don't Ten thousand years  And I never once Ahah  Not so fast demons  There are Welcome to the party  It's so nice to I'm very proud of you  You've taken to Well I have some news Soon you will see things more horrible Not that horrible but still pretty bad Covered in bees You know from this angle you're kind Yummy Keep it up and I just might make you my Is this a joke Not bad little brother  Let's see what Absolutely not Goodbye Nicky What  No tongue
DAN;male;C'mon man I'm just asking for one You did it for Namath This is bullshit man I just wanted to come here This Denny's It's kind of embarrassing but I had a dream about this place You see what I mean Well  it's the second one I've had but To get rid of this godawful feeling Around here
TODD;male;on phone Uh don't you want to know what the rent Eighthundred split down the middle Right  And as far as household items It's like eighty degrees in this Why is that funny And sorry man but no dogs allowed Yeah your bedroom is right over there What are you doing A black guy What's Nicky doing down there Did you just talk So your father's the devil you're a I gotta say this cake tastes a little I was in love one time but she said I No Why  Did she hurt you  Do you miss Oh would you grow up You guys want to stay  I have a futon That is the most frightening thing I Been breaking all morning which is by far DePalma's best Looks like they're following a giant I've always wanted to kill someone  Can Die Grandma die Where is he  He's late You guys  That was so uncool Run Beefy  Run They castrated him  He can't shoot One thing I really regret is never His name is Andrew  I know that guy Oh my Gd he just opened his mouth and
VALERIE;female;Excuse me does that flask belong to Look I know you come out here and sell No but maybe that cop over there might Fine  I will That's okay  I get messed with all the I'm sorry  I just assumed  Your accent Really Why are you laughing My dad's an optometrist I'm sorry  It's really tough when your Well I'm sure a nice southern boy like That's alright  I already ate lunch  I If you want to "Octopus people" It's not that cold  Here let me wrap This town is really going to hell laughs I'd love to have a dog  But I go to Parsons School of Design  I knew My perfume Sometimes sure Basically yeah You know what's nice about you  You What What was that You're a jerk What the hell's your problem Nicky  Oh my Gd  Stay right there What were you thinking coming here Oh my Gd I'm so sorry Are you dead What are you doing Why would you be floating Am I supposed to not be freaked out I'm over here Nicky  To the left What do you mean "possessed" Yes  "The Devil" Okay now I get that "deep south" joke Okay I do  Get back up here This is amazing He's kind of ruining the mood Can we go fly over Central Park We're going to Jersey sings along to song Don't do it You think so  Why don't you come a Nicky Where'd a sweet Southern boy learn to whispering Put him in Ozzy Grand Central Nicky  Start running I love you Thank yo
REGIS;male;So I was driving to work today and some So I followed him I followed him all the way downtown and Recently yes  So I run up behind this I was DeNiro Super devil juice  Give it over  Let's
BUM;male;Fifty million dollars
GUY;male;Adrian's voice
ANGEL;male;Oh My Gd  I can't believe you're I'm sorry you're just so cute Maybe try the opposite of that annoyed Try an angel Unhhuh  Which would make you half Well she was about sixthree only Angels don't get any older son Oh my Gd  This is so wild I think they were hookers or strippers Oh Chubbs  I totally spaced  I'm so Nicky this is Chubbs  He used to be a It was a long time ago at some Heaven Try four and a half  At first I totally But I don't know he was funny he made Well I really wasn't thinking about I'll call her later That's why you came up to Heaven instead We can see what's going on anywhere on She's so nice I would totally love to go there  But I Yeah you do Stronger yes  Smarter definitely No you have the inner light  You can I'm not a hundred percent on that  Gd Well goodbyefor now It would be so okay I totally had to do that Okay you just saw my son save the Oh my Gd  He's totally talking about
CHRISTA;female;So excited You're gonna be so happy she did that No their mother's weren't angels I remember that night you had like four You know we saw you save your She goes to Parson's right Gd's so smart
JENNA;female;She really is Do you have any idea where you are right I'm sorry but you just had the sweetest I can't believe you just called him He was really conceited That was so cool The smartest
OZZY;male;Hello New York
SWANN;male;to all three No  He's gone too far determined So stay out here to others You're going to be okay Fuck you No Don't touch me  He's got got Jesus Binding you It's finished We bury him so deep no one will wearily Yeah Somebody killed him disturbed I'm putting in a new illusion No Valentin irritated The guy with Dorothea  Is that who He's young Ready My friends  come with meinto You shouldn't have followed me Now I'm going to have to kill you Why  So you can fuck my wife Illusionists get Las Vegas He deserved it I did it for Dorothea Now that I'm dead the spotlight's It's me betrayed him despairing Is this the best brandy you've Can you change a thousand for me Will that do  No That better  You think I'm an asshole a warning I distract them from their banality Oh I was going to discover the He had something  He showed me how No I saw it with my own fucking eyes  Hey Thought not She's not here No Yes Looks that way And Nix He's better off this way You don't get it do you We're That's where we're all going At a guess they just resurrected in terrified awe I can't I can't go any to Harry Aah And Why would I want to Not true Yes Yes Yes No Harry Harry  You can't kill him  Yes I don't know
JENNIFER;female;cool He'll kill her Don't be afraid Where did Swann go Fuck Quickly Have we met before Only I forget  They give me pills Maybe I don't I knew Swann He said he knew how to protect us  tears nearing I told you  I don't  He's not going to get me Nix Nix Yes Yes No  He's coming back  He's
BARBARA;female;I'm not want to see Show us Puritan sobbing
DOROTHEA;female;Thank you  Where's Mr Swann Why Bad show last night distastefully Sure Oh God Sure  You want me to find out Valentin gives him the newspaper I want you to find this man D'Amour I want you to help me help my Yes  They weren't close but they I think we make our own futures covering now but well He's a secretive man We don't share our lives the way a We haven't slept in the same bed We wouldn't be having this You don't believe me No  You're right  He could have Will you take the job Mr D'Amour Harry That's not what I'm asking for I Come to the show with me Tonight I I didn't marry him for love Mr I'm glad you could make it  You haven't seen anything yet a whisper No   to Harry softly nods I don't know where you'd start They won't tell you anything a beat Harry I know it's late How did it go today He didn't have me  I told you That's my business Harry Yes I'm here  And no  I don't It doesn't ring a bell  I have to uneasy Who is it No word from D'Amour     Harm to whom  Me  I don't think This is the way he wanted it no Flesh is a trap  That's what he uneasy Oh Christ It was more than that I think Swann said he could do stuff yes He could get into people's heads  Some or it I told you  No I wasn't I was grateful to him  I owed him Shit No it isn't  You can't help me seductive whispers Are you sure I know  I'm the one who shot I was twelve  Nix took me hostage Yes And Pimm and Swann  Only Nix was nervous Harry  Wait It's him  It's Nix Oh my God Who in God's name are you Are you all right Harry What about me Who's there Jesus  Valentin  What did you do Why did you wait so long And you think he'll be in a fit What is he Listen  You've got everything you Christ in Heaven Oh God I don't know where he is Oh God You can't It's not real Harry Harry  Listen to me Whatever's I'm here Harry Yes Don't look Harry Oh my God Is it finished Come on Harry
VALENTIN;male;Higher  Another inch  The left to Hangers We've never met I'm here to offer you a job Have you got a job that'll pay you Mine sparring laughs You know of him Are you a gambling man Never call him that  He's strictly Illusions are trickery Magicians Probably I don't think the dead much care Are you a believer then Swann's wife I'm here to Stage Manager Looking for you  I tried the You're a detective with no clues  A ticket home She doesn't want to see you She's Yes  It's regrettable What for  You need to stay busy Why people die Don't try and see her D'Amour Crank call  I'll get the number It's better he's gone  He would I left three messages already quietly You want more money is that it Leave her alone  What are you doing  This is Are you satisfied now Yes Yes I tried to pay you off No  It was mine  I didn't want Haven't you seen enough to know Why don't you leave this alone Let Nix was never interested in you  Who's there Please Don't I don't know Wait I'll tell you I'm sorry I swear this is the place Swann blinded Oh Christ  Oh Christ D'Amour  Help me Him too Don't bother I'm sorry D'Amour  Looks like you're going
NORMAN;male;He will come  He will come He Yes show us What's happening
ROAR;male;
VALENTIM;male;He's got Dorothea 
RENEE;female;You don't mind that I'm not coming I thought I'd stay home and read I like to laugh Fred Wake me up when you get home A videotape I don't know There's no return address  looking it over It must be from a real estate agent she looks up What night Oh Oh yeah  No This is a different Called  When I must have fallen asleep  I was asleep without looking up Yeah tentatively  distant and off Fred are you all right That dog woke me  I lay there for a Yes I just found it on the step I guess so Yeah We've got to call the police yes I've been on hold for ten Hello yes Good My name is Renee Two detectives are coming out What is No Fred hates them Yes actually we do but we haven't No No one of us is always here to let the  We will What the hell is going on What was that On the tape  There was something else on Why would anyone do something like this Ino No No threats I don't know if I want to stay here  I I don't know maybe a hotel Acting paranoid Someone is in our  But that doesn't solve the problem  Who I thought you were getting me a drink Honey who Who's dead But It was a long time ago I met him at  I don't remember Anyway Andy's  Why what is it  Why did you make me Was there It's so odd Waiting out there I had  tentatively 
